#Q2	x	y	sigmar	total error	StatErr	Uncor	tot_noproc %
5.0000E03	5.4700E-02	9.0324E-01	6.4239E-01	0.035165970336	5.0138E00	1.8994E00	5.47424E00
5.0000E03	8.0000E-02	6.1759E-01	5.4571E-01	0.014365870321	2.3366E00	5.8217E-01	2.63251E00
5.0000E03	1.3000E-01	3.8005E-01	4.7130E-01	0.01461732237	2.8491E00	7.2004E-01	3.10149E00
5.0000E03	1.8000E-01	2.7448E-01	3.6470E-01	0.01239513184	3.1764E00	6.9522E-01	3.39872E00
5.0000E03	2.5000E-01	1.9763E-01	2.4890E-01	0.01106492417	4.2409E00	7.8672E-01	4.44553E00
5.0000E03	4.0000E-01	1.2352E-01	1.3002E-01	0.007235534988	5.1779E00	1.6474E00	5.56494E00
5.0000E03	6.5000E-01	7.6011E-02	1.4706E-02	0.002091737322	1.2570E01	6.3711E00	1.42237E01
8.0000E03	8.7500E-02	9.0344E-01	6.4366E-01	0.050871088806	7.3929E00	2.4889E00	7.90341E00
8.0000E03	1.3000E-01	6.0809E-01	5.5872E-01	0.019623252096	3.2363E00	7.6116E-01	3.51218E00
8.0000E03	1.8000E-01	4.3917E-01	4.1651E-01	0.017482923948	3.9530E00	9.8113E-01	4.19748E00
8.0000E03	2.5000E-01	3.1621E-01	2.9676E-01	0.01453767888	4.6566E00	1.0672E00	4.89880E00
8.0000E03	4.0000E-01	1.9763E-01	1.2136E-01	0.00925861508	7.1976E00	2.2180E00	7.62905E00
8.0000E03	6.5000E-01	1.2162E-01	1.5898E-02	0.001979014836	1.1752E01	3.8275E00	1.24482E01
1.2000E04	1.3000E-01	9.1213E-01	7.3310E-01	0.0975726776	1.2716E01	3.6581E00	1.33096E01
1.2000E04	1.8000E-01	6.5876E-01	4.8247E-01	0.023760923795	4.6362E00	7.6409E-01	4.92485E00
1.2000E04	2.5000E-01	4.7431E-01	3.3417E-01	0.020403517941	5.8540E00	1.2439E00	6.10573E00
1.2000E04	4.0000E-01	2.9644E-01	1.7141E-01	0.014336132465	7.9133E00	2.3853E00	8.36365E00
1.2000E04	6.5000E-01	1.8243E-01	1.4910E-02	0.00351940113	2.2678E01	6.3306E00	2.36043E01
2.0000E04	2.5000E-01	7.9051E-01	4.7861E-01	0.035176590614	6.9966E00	9.7793E-01	7.34974E00
2.0000E04	4.0000E-01	4.9407E-01	2.0599E-01	0.02061280133	9.6721E00	2.2359E00	1.00067E01
2.0000E04	6.5000E-01	3.0404E-01	1.7364E-02	0.005881429896	3.0507E01	1.4480E01	3.38714E01
3.0000E04	4.0000E-01	7.4111E-01	2.3073E-01	0.03203985999	1.3509E01	1.8491E00	1.38863E01
3.0000E04	6.5000E-01	4.5607E-01	4.4179E-02	0.014340680116	3.0339E01	1.1329E01	3.24604E01
5.0000E04	6.5000E-01	7.6011E-01	8.2210E-02	0.04666642429	5.5748E01	1.0546E01	5.67649E01
1.5000E-01	5.0200E-06	2.9526E-01	1.8481E-01	0.010080923475	3.7945E00	1.5002E00	5.45475E00
2.0000E-01	6.6900E-06	2.9541E-01	2.2651E-01	0.005656996646	1.6505E00	7.8455E-01	2.49746E00
2.0000E-01	8.4900E-06	2.3278E-01	2.2349E-01	0.006227526501	1.6129E00	6.0670E-01	2.78649E00
2.0000E-01	1.1000E-05	1.7966E-01	2.0773E-01	0.008818283911	2.7873E00	1.5003E00	4.24507E00
2.0000E-01	3.9800E-05	4.9655E-02	2.1147E-01	0.04191187371	1.4932E01	1.1960E01	1.98193E01
2.0000E-01	2.5100E-04	7.8736E-03	1.7957E-01	0.02718115176	1.3492E01	6.1723E00	1.51368E01
2.5000E-01	8.3600E-06	2.9550E-01	2.6496E-01	0.0066650688	1.4586E00	7.2886E-01	2.51550E00
2.5000E-01	1.0600E-05	2.3305E-01	2.5950E-01	0.00607673745	1.2940E00	6.6124E-01	2.34171E00
2.5000E-01	1.3800E-05	1.7901E-01	2.4859E-01	0.005851435715	1.2673E00	7.1515E-01	2.35385E00
2.5000E-01	2.3000E-05	1.0741E-01	2.4287E-01	0.007618321873	1.4050E00	1.5000E00	3.13679E00
