#Q^2     x	       y 	    sigmar	toter
8.5	0.800E-03	0.105	0.936	0.013104
8.5	0.130E-02	0.065	0.844	0.012238
8.5	0.200E-02	0.042	0.773	0.0141459
8.5	0.320E-02	0.026	0.664	0.0126824
8.5	0.500E-02	0.017	0.635	0.0109855
8.5	0.200E-01	0.004	0.458	0.0120912
10	0.130E-03	0.853	1.141	0.0893403
10	0.200E-03	0.554	1.248	0.0409344
10	0.320E-03	0.309	1.153	0.0277873
10	0.500E-03	0.198	1.069	0.0243732
10	0.800E-03	0.124	0.983	0.0233954
10	0.130E-02	0.076	0.898	0.0234378
10	0.200E-02	0.049	0.809	0.0230565
10	0.500E-02	0.02	0.633	0.0105078
10	0.200E-01	0.005	0.516	0.0111972
12	0.161E-03	0.826	1.238	0.0701946
12	0.200E-03	0.665	1.293	0.0484875
12	0.200E-03	0.593	1.314	0.0501948
12	0.320E-03	0.416	1.233	0.0253998
12	0.320E-03	0.371	1.233	0.017262
12	0.500E-03	0.237	1.153	0.0129136
12	0.800E-03	0.148	1.056	0.0118272
12	0.130E-02	0.091	0.941	0.014115
12	0.200E-02	0.059	0.856	0.013268
12	0.320E-02	0.037	0.757	0.0146858
12	0.500E-02	0.024	0.682	0.0118668
12	0.200E-01	0.006	0.492	0.0122508
15	0.200E-03	0.831	1.27	0.062484
15	0.246E-03	0.676	1.37	0.042881
15	0.320E-03	0.52	1.3	0.02899
15	0.320E-03	0.463	1.324	0.029128
15	0.500E-03	0.296	1.217	0.013387
15	0.800E-03	0.185	1.115	0.011819
15	0.130E-02	0.114	0.988	0.0110656
15	0.200E-02	0.074	0.875	0.0102375
15	0.320E-02	0.046	0.789	0.0097047
15	0.500E-02	0.03	0.718	0.0081852
15	0.800E-02	0.019	0.636	0.0073776
15	0.200E-01	0.007	0.532	0.0086716
18	0.268E-03	0.745	1.332	0.0664668
18	0.328E-03	0.608	1.375	0.036025
18	0.500E-03	0.399	1.276	0.0246268
18	0.500E-03	0.356	1.277	0.0181334
18	0.800E-03	0.222	1.168	0.0121472
18	0.130E-02	0.137	1.052	0.0111512
18	0.200E-02	0.089	0.95	0.010355
18	0.320E-02	0.056	0.836	0.0093632
18	0.500E-02	0.036	0.75	0.00825
18	0.800E-02	0.022	0.668	0.0074816
18	0.200E-01	0.009	0.539	0.0118041
22	0.500E-03	0.488	1.342	0.0475068
22	0.800E-03	0.272	1.269	0.0312174
22	0.130E-02	0.167	1.071	0.0300951
22	0.200E-02	0.109	1.019	0.0307738
22	0.320E-02	0.068	0.906	0.0263646
22	0.500E-02	0.043	0.774	0.0206658
22	0.800E-02	0.027	0.66	0.018414
22	0.130E-01	0.017	0.591	0.0170208
22	0.320E-01	0.007	0.523	0.0154808
27	0.335E-03	0.894	1.402	0.080615
27	0.410E-03	0.73	1.417	0.0406679
27	0.500E-03	0.599	1.418	0.0323304
27	0.500E-03	0.534	1.42	0.027122
27	0.800E-03	0.374	1.296	0.036288
27	0.800E-03	0.333	1.298	0.0146674
27	0.130E-02	0.205	1.164	0.0125712
27	0.200E-02	0.133	1.054	0.0114886
27	0.320E-02	0.083	0.92	0.010396
27	0.500E-02	0.053	0.806	0.0091884
27	0.800E-02	0.033	0.712	0.0082592
27	0.130E-01	0.021	0.639	0.0074763
27	0.200E-01	0.013	0.581	0.0085407
27	0.320E-01	0.008	0.529	0.0124315
35	0.574E-03	0.676	1.521	0.0413712
35	0.800E-03	0.485	1.407	0.0260295
35	0.800E-03	0.432	1.395	0.020088
35	0.130E-02	0.266	1.234	0.0128336
35	0.200E-02	0.173	1.108	0.0118556
35	0.320E-02	0.108	0.976	0.010736
35	0.500E-02	0.069	0.857	0.0095127
35	0.800E-02	0.043	0.751	0.0085614
35	0.130E-01	0.027	0.666	0.0079254
35	0.200E-01	0.017	0.595	0.0074375
35	0.320E-01	0.011	0.519	0.0097053
35	0.800E-01	0.004	0.45	0.02088
